METABOLITE NAME,ID,smiles,Pathway predictions KEGG,Pathway predictions PlantCyc
caftaric acid,6440397,C1=CC(=C(C=C1/C=C/C(=O)O[C@H]([C@H](C(=O)O)O)C(=O)O)O)O,[],"[['PWY-5048', 'PWY-7498']]"
procyanidin B2,122738,C1[C@H]([C@H](OC2=C1C(=CC(=C2[C@@H]3[C@H]([C@H](OC4=CC(=CC(=C34)O)O)C5=CC(=C(C=C5)O)O)O)O)O)C6=CC(=C(C=C6)O)O)O,['map00941' 'map00940'],[['PWY-6029']]
peonidin 3-(6''-acetylglucoside),72193652,CC(=O)OCC1[C@H](C(C([C@@H](O1)OC2=CC3=C(C=C(C=C3[O+]=C2C4=CC(=C(C=C4)O)OC)O)O)O)O)O,[],[['PWY-6062']]
peonidin 3-(6''-p-coumarylglucoside),44256849,COC1=C(C=CC(=C1)C2=[O+]C3=CC(=CC(=C3C=C2O[C@H]4C(C([C@@H](C(O4)COC(=O)/C=C/C5=CC=C(C=C5)O)O)O)O)O)O)O,['map00940'],[['PWY-6062']]
resveratrol dimer (pallidol),484757,C1=CC(=CC=C1[C@H]2[C@H]3[C@H]([C@@H](C4=C3C=C(C=C4O)O)C5=CC=C(C=C5)O)C6=C2C(=CC(=C6)O)O)O,['map00941'],"[['PWY-2002', 'PWY-2083', 'PWY-6602']]"
resveratrol dimer (viniferin),5281728,C1=CC(=CC=C1/C=C/C2=C3[C@H]([C@@H](OC3=CC(=C2)O)C4=CC=C(C=C4)O)C5=CC(=CC(=C5)O)O)O,['map00941' 'map00940'],[[]]
salicylaldehyde,6998,C1=CC=C(C(=C1)C=O)O,['map00940'],[[]]
"3,4-dihydroxybenzoic acid",72,C1=CC(=C(C=C1C(=O)O)O)O,['map00940'],[['PWY-5769']]
laricitrin-3-glucoside,101682256,COC1=CC(=CC(=C1O)O)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O,['map00944'],[['PWY-7160']]
malvidin 3-(6''-acetylglucoside),72193646,CC(=O)OCC1C(C(C(C(O1)OC2=CC3=C(C=C(C=C3[O+]=C2C4=CC(=C(C(=C4)OC)O)OC)O)O)O)O)O,[],[['PWY-6062']]
malvidin 3-(6''-p-coumarylglucoside),72193651,COC1=CC(=CC(=C1O)OC)C2=[O+]C3=CC(=CC(=C3C=C2O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)COC(=O)/C=C/C5=CC=C(C=C5)O)O)O)O)O)O,[],[['PWY-6062']]
myricetin-3-glucuronide,44259442,C1=C(C=C(C(=C1O)O)O)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O[C@H]4C(C([C@@H]([C@H](O4)C(=O)O)O)O)O,['map00944'],[[]]
procyanidin trimer,58571364,C1[C@@H]([C@H](OC2=C1C(=CC(=C2C3[C@H]([C@H](OC4=C(C(=CC(=C34)O)O)C5[C@H]([C@H](OC6=CC(=CC(=C56)O)O)C7=CC(=C(C=C7)O)O)O)C8=CC(=C(C=C8)O)O)O)O)O)C9=CC(=C(C=C9)O)O)O,['map00941' 'map00940'],[['PWY-6029']]
DL-Indole-3-lactic acid,92904,C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)O,[],"[['CAMALEXIN-SYN', 'PWY-581', 'PWY-601', 'PWY-8024']]"
